"mu","g"
-20,"-0.8965584721644284 + 0.i"
-19.9,"-0.8960828238666454 + 0.i"
-19.8,"-0.8956022324008256 + 0.i"
-19.7,"-0.8951168079375295 + 0.i"
-19.6,"-0.8946264158764738 + 0.i"
-19.5,"-0.8941309954778364 + 0.i"
-19.4,"-0.8936304079173318 + 0.i"
-19.3,"-0.8931246369659636 + 0.i"
-19.2,"-0.8926136163244499 + 0.i"
-19.1,"-0.89209716628353 + 0.i"
-19,"-0.8915753284904628 + 0.i"
-18.9,"-0.8910478859398164 + 0.i"
-18.8,"-0.890514864529553 + 0.i"
-18.7,"-0.889976101858954 + 0.i"
-18.6,"-0.8894316138579825 + 0.i"
-18.5,"-0.888881142800898 + 0.i"
-18.4,"-0.8883246779415906 + 0.i"
-18.3,"-0.8877621164021808 + 0.i"
-18.2,"-0.8871934222529787 + 0.i"
-18.1,"-0.8866183684013 + 0.i"
-18,"-0.8860370034868799 + 0.i"
-17.9,"-0.8854490310157193 + 0.i"
-17.8,"-0.8848544804725287 + 0.i"
-17.7,"-0.8842532208820485 + 0.i"
-17.6,"-0.883645182642792 + 0.i"
-17.5,"-0.8830300968860099 + 0.i"
-17.4,"-0.8824079417605074 + 0.i"
-17.3,"-0.8817786000369098 + 0.i"
-17.2,"-0.8811419255766546 + 0.i"
-17.1,"-0.8804978850160248 + 0.i"
-17,"-0.8798461528891115 + 0.i"
-16.9,"-0.8791867658374686 + 0.i"
-16.8,"-0.8785195213813923 + 0.i"
-16.7,"-0.8778443132476297 + 0.i"
-16.6,"-0.8771609178413767 + 0.i"
-16.5,"-0.8764692798285415 + 0.i"
-16.4,"-0.8757692076209009 + 0.i"
-16.3,"-0.8750605547747508 + 0.i"
-16.2,"-0.8743431238221986 + 0.i"
-16.1,"-0.8736168183810973 + 0.i"
-16,"-0.8728814611800049 + 0.i"
-15.899999999999999,"-0.8721368389968321 + 0.i"
-15.8,"-0.8713828088555472 + 0.i"
-15.7,"-0.8706191816469973 + 0.i"
-15.6,"-0.869845784072716 + 0.i"
-15.5,"-0.8690624197950806 + 0.i"
-15.399999999999999,"-0.86826890347183 + 0.i"
-15.3,"-0.8674650329627093 + 0.i"
-15.2,"-0.8666506209532574 + 0.i"
-15.1,"-0.8658254717540141 + 0.i"
-15,"-0.8649893343269124 + 0.i"
-14.899999999999999,"-0.8641419723473086 + 0.i"
-14.8,"-0.8632831902423488 + 0.i"
-14.7,"-0.8624127779546671 + 0.i"
-14.6,"-0.8615304213514186 + 0.i"
-14.5,"-0.8606360155423254 + 0.i"
-14.399999999999999,"-0.8597291684326763 + 0.i"
-14.3,"-0.8588097102266039 + 0.i"
-14.2,"-0.8578773221313415 + 0.i"
-14.1,"-0.8569317804986135 + 0.i"
-14,"-0.8559727786459614 + 0.i"
-13.899999999999999,"-0.8550000232603477 + 0.i"
-13.8,"-0.8540132520934428 + 0.i"
-13.7,"-0.8530121045972536 + 0.i"
-13.6,"-0.8519963466528142 + 0.i"
-13.5,"-0.8509655608130801 + 0.i"
-13.399999999999999,"-0.8499195025312709 + 0.i"
-13.3,"-0.8488577674401644 + 0.i"
-13.2,"-0.847780063619428 + 0.i"
-13.1,"-0.8466859641246129 + 0.i"
-13,"-0.8455750995693854 + 0.i"
-12.899999999999999,"-0.8444471722496469 + 0.i"
-12.8,"-0.8433016515710532 + 0.i"
-12.7,"-0.8421382692841751 + 0.i"
-12.6,"-0.8409565096213114 + 0.i"
-12.5,"-0.8397559359647295 + 0.i"
-12.399999999999999,"-0.8385361807038235 + 0.i"
-12.3,"-0.8372966670595234 + 0.i"
-12.2,"-0.8360370010236258 + 0.i"
-12.1,"-0.8347566550585275 + 0.i"
-12,"-0.8334551309259587 + 0.i"
-11.9,"-0.8321319156945463 + 0.i"
-11.799999999999999,"-0.8307864095457671 + 0.i"
-11.7,"-0.8294181429707255 + 0.i"
-11.6,"-0.8280264339456647 + 0.i"
-11.5,"-0.8266107574422855 + 0.i"
-11.4,"-0.8251704280004946 + 0.i"
-11.299999999999999,"-0.8237048268251659 + 0.i"
-11.2,"-0.822213317833909 + 0.i"
-11.1,"-0.8206951757735786 + 0.i"
-11,"-0.8191496835767417 + 0.i"
-10.9,"-0.81757613097342 + 0.i"
-10.799999999999999,"-0.8159737158113906 + 0.i"
-10.7,"-0.8143416806159114 + 0.i"
-10.6,"-0.8126791794332076 + 0.i"
-10.5,"-0.8109853436526362 + 0.i"
-10.399999999999999,"-0.8092593033192697 + 0.i"
-10.299999999999999,"-0.8075001000991204 + 0.i"
-10.2,"-0.805706833782274 + 0.i"
-10.1,"-0.8038784711939797 + 0.i"
-10,"-0.8020140078087958 + 0.i"
-9.899999999999999,"-0.8001123362928864 + 0.i"
-9.799999999999999,"-0.7981723713718745 + 0.i"
-9.7,"-0.7961929231402515 + 0.i"
-9.6,"-0.7941727973444577 + 0.i"
-9.5,"-0.792110754816438 + 0.i"
-9.399999999999999,"-0.7900054446882909 + 0.i"
-9.299999999999999,"-0.7878555423578117 + 0.i"
-9.2,"-0.7856596037436911 + 0.i"
-9.1,"-0.7834161317440211 + 0.i"
-9,"-0.7811235962782532 + 0.i"
-8.899999999999999,"-0.7787803697990621 + 0.i"
-8.799999999999999,"-0.7763847907445095 + 0.i"
-8.7,"-0.7739350720755459 + 0.i"
-8.6,"-0.7714293702167703 + 0.i"
-8.5,"-0.7688657707715074 + 0.i"
-8.399999999999999,"-0.7662422754289787 + 0.i"
-8.299999999999999,"-0.7635567374951222 + 0.i"
-8.2,"-0.7608069879615944 + 0.i"
-8.1,"-0.7579907039473595 + 0.i"
-8,"-0.7551054219487081 + 0.i"
-7.899999999999999,"-0.7521486539594368 + 0.i"
-7.799999999999999,"-0.7491177147604047 + 0.i"
-7.699999999999999,"-0.7460097666027679 + 0.i"
-7.6,"-0.7428219149349813 + 0.i"
-7.5,"-0.739551053523807 + 0.i"
-7.399999999999999,"-0.736193912413862 + 0.i"
-7.299999999999999,"-0.7327470892247779 + 0.i"
-7.199999999999999,"-0.7292069480641052 + 0.i"
-7.1,"-0.7255697119771396 + 0.i"
-7,"-0.7218313578497404 + 0.i"
-6.899999999999999,"-0.7179876776936043 + 0.i"
-6.799999999999999,"-0.7140341737749116 + 0.i"
-6.699999999999999,"-0.7099661528441378 + 0.i"
-6.6,"-0.7057786247180653 + 0.i"
-6.5,"-0.7014662797306614 + 0.i"
-6.399999999999999,"-0.6970235481975331 + 0.i"
-6.299999999999999,"-0.6924444796668101 + 0.i"
-6.199999999999999,"-0.6877227987389497 + 0.i"
-6.1,"-0.6828518460373924 + 0.i"
-6,"-0.6778244911661547 + 0.i"
-5.899999999999999,"-0.6726332122708016 + 0.i"
-5.799999999999999,"-0.6672699694500359 + 0.i"
-5.699999999999999,"-0.6617262132958481 + 0.i"
-5.6,"-0.6559928094861176 + 0.i"
-5.5,"-0.6500600306607074 + 0.i"
-5.399999999999999,"-0.6439174710052538 + 0.i"
-5.299999999999999,"-0.6375539798476161 + 0.i"
-5.199999999999999,"-0.6309576811653345 + 0.i"
-5.1,"-0.6241157718505411 + 0.i"
-5,"-0.6170145579470103 + 0.i"
-4.899999999999999,"-0.6096393304729063 + 0.i"
-4.799999999999999,"-0.6019742511944821 + 0.i"
-4.699999999999999,"-0.5940022847501888 + 0.i"
-4.6,"-0.585705062958443 + 0.i"
-4.5,"-0.5770627583175367 + 0.i"
-4.399999999999999,"-0.5680539370696196 + 0.i"
-4.299999999999999,"-0.5586554396072978 + 0.i"
-4.199999999999999,"-0.5488421317555933 + 0.i"
-4.1,"-0.538586749685973 + 0.i"
-4,"-0.527859705046639 + 0.i"
-3.8999999999999986,"-0.5166287674919048 + 0.i"
-3.8000000000000007,"-0.5048588503052536 + 0.i"
-3.6999999999999993,"-0.49251163538673215 + 0.i"
-3.599999999999998,"-0.47954530909829807 + 0.i"
-3.5,"-0.465914043413996 + 0.i"
-3.3999999999999986,"-0.4515676574745445 + 0.i"
-3.3000000000000007,"-0.4364510783057506 + 0.i"
-3.1999999999999993,"-0.420503752763871 + 0.i"
-3.099999999999998,"-0.40365904204362213 + 0.i"
-3,"-0.3858435131835295 + 0.i"
-2.8999999999999986,"-0.3669761178765628 + 0.i"
-2.8000000000000007,"-0.3469673238778743 + 0.i"
-2.6999999999999993,"-0.325718124547547 + 0.i"
-2.599999999999998,"-0.30311895318394977 + 0.i"
-2.5,"-0.27904850107693746 + 0.i"
-2.3999999999999986,"-0.2533724525471319 + 0.i"
-2.3000000000000007,"-0.22594216777328124 + 0.i"
-2.1999999999999993,"-0.1965933402257598 + 0.i"
-2.099999999999998,"-0.1651447383867537 + 0.i"
-2,"-0.13139714276022274 + 0.i"
-1.8999999999999986,"-0.09513272445487364 + 0.i"
-1.8000000000000007,"-0.05611513921709088 + 0.i"
-1.6999999999999993,"-0.014090888734059281 + 0.i"
-1.5999999999999979,"0.03120731389951259 + 0.i"
-1.5,"0.08005407316029056 + 0.i"
-1.3999999999999986,"0.13272011861258792 + 0.i"
-1.3000000000000007,"0.1894541066720874 + 0.i"
-1.1999999999999993,"0.250454274069871 + 0.i"
-1.0999999999999979,"0.31582588957948365 + 0.i"
-1,"0.38551956362708517 + 0.i"
-0.8999999999999986,"0.45924543130872375 + 0.i"
-0.7999999999999972,"0.5363598978672819 + 0.i"
-0.6999999999999993,"0.6157272297338012 + 0.i"
-0.5999999999999979,"0.6955702211017927 + 0.i"
-0.5,"0.7733447865351148 + 0.i"
-0.3999999999999986,"0.8457006675528902 + 0.i"
-0.29999999999999716,"0.9086131524895724 + 0.i"
-0.1999999999999993,"0.9577633438708264 + 0.i"
-0.09999999999999787,"0.9891768600518016 + 0.i"
0,"1. + 0.i"
0.10000000000000142,"0.9891605030915256 + 0.i"
0.20000000000000284,"0.9576386006970476 + 0.i"
0.3000000000000007,"0.9082231457480816 + 0.i"
0.40000000000000213,"0.8448649558251253 + 0.i"
0.5,"0.7718978632246736 + 0.i"
0.6000000000000014,"0.6933862385416232 + 0.i"
0.7000000000000028,"0.6127289246690255 + 0.i"
0.8000000000000007,"0.5325157138801453 + 0.i"
0.9000000000000021,"0.454560481991678 + 0.i"
1,"0.3800249607161572 + 0.i"
1.1000000000000014,"0.30956905271844115 + 0.i"
1.2000000000000028,"0.24349128645534757 + 0.i"
1.3000000000000007,"0.18184423133697503 + 0.i"
1.4000000000000021,"0.12452217460337356 + 0.i"
1.5,"0.07132420564052566 + 0.i"
1.6000000000000014,"0.021997788704442467 + 0.i"
1.7000000000000028,"-0.023732242101220047 + 0.i"
1.8000000000000007,"-0.06614504434461244 + 0.i"
1.9000000000000021,"-0.10551231653612525 + 0.i"
2,"-0.14209169529964927 + 0.i"
2.1000000000000014,"-0.17612332017192267 + 0.i"
2.200000000000003,"-0.20782844489200536 + 0.i"
2.3000000000000007,"-0.23740934545400316 + 0.i"
2.400000000000002,"-0.26504997545088027 + 0.i"
2.5,"-0.2909170442419352 + 0.i"
2.6000000000000014,"-0.31516131471134556 + 0.i"
2.700000000000003,"-0.3379189712380274 + 0.i"
2.8000000000000007,"-0.3593129587289029 + 0.i"
2.900000000000002,"-0.3794542908640246 + 0.i"
3,"-0.3984432521538206 + 0.i"
3.1000000000000014,"-0.4163705027492214 + 0.i"
3.200000000000003,"-0.43331806757132596 + 0.i"
3.3000000000000007,"-0.44936027883030794 + 0.i"
3.400000000000002,"-0.4645645229390547 + 0.i"
3.5,"-0.4789920499842778 + 0.i"
3.6000000000000014,"-0.4926985606381866 + 0.i"
3.700000000000003,"-0.5057347750832202 + 0.i"
3.8000000000000007,"-0.5181469753918017 + 0.i"
3.900000000000002,"-0.5299774460938275 + 0.i"
4,"-0.5412648725400786 + 0.i"
4.100000000000001,"-0.5520446959037351 + 0.i"
4.200000000000003,"-0.5623494513616675 + 0.i"
4.300000000000001,"-0.5722090312982933 + 0.i"
4.400000000000002,"-0.581650930814078 + 0.i"
4.5,"-0.5907005085336858 + 0.i"
4.600000000000001,"-0.599381141408171 + 0.i"
4.700000000000003,"-0.607714450973962 + 0.i"
4.800000000000001,"-0.6157204423716547 + 0.i"
4.900000000000002,"-0.6234176100257417 + 0.i"
5,"-0.6308231592702247 + 0.i"
5.100000000000001,"-0.6379530375112725 + 0.i"
5.200000000000003,"-0.6448220914746534 + 0.i"
5.300000000000001,"-0.6514441132882581 + 0.i"
5.400000000000002,"-0.6578319771138615 + 0.i"
5.5,"-0.6639976958201406 + 0.i"
5.600000000000001,"-0.6699524672723891 + 0.i"
5.700000000000003,"-0.6757067946159123 + 0.i"
5.800000000000001,"-0.6812704496305403 + 0.i"
5.900000000000002,"-0.6866526504019239 + 0.i"
6,"-0.6918620087922243 + 0.i"
6.100000000000001,"-0.6969066046063166 + 0.i"
6.200000000000003,"-0.7017940377136989 + 0.i"
6.300000000000001,"-0.7065314412949116 + 0.i"
6.400000000000002,"-0.7111255571727181 + 0.i"
6.5,"-0.7155826905671016 + 0.i"
6.600000000000001,"-0.7199088237869226 + 0.i"
6.700000000000003,"-0.7241095868970125 + 0.i"
6.800000000000001,"-0.7281902705382293 + 0.i"
6.900000000000002,"-0.7321559340394768 + 0.i"
7,"-0.7360112759988477 + 0.i"
7.100000000000001,"-0.7397608425311977 + 0.i"
7.200000000000003,"-0.7434088489225725 + 0.i"
7.300000000000001,"-0.7469593455536045 + 0.i"
7.400000000000002,"-0.750416159111613 + 0.i"
7.5,"-0.7537829051070136 + 0.i"
7.600000000000001,"-0.7570630317090197 + 0.i"
7.700000000000003,"-0.7602598061672619 + 0.i"
7.800000000000001,"-0.7633763343714464 + 0.i"
7.900000000000002,"-0.7664156012953381 + 0.i"
8,"-0.7693803895212665 + 0.i"
8.100000000000001,"-0.7722734048643946 + 0.i"
8.200000000000003,"-0.7750971942492975 + 0.i"
8.3,"-0.7778542059182313 + 0.i"
8.400000000000002,"-0.7805467410215616 + 0.i"
8.5,"-0.7831770121564858 + 0.i"
8.600000000000001,"-0.7857471797351816 + 0.i"
8.700000000000003,"-0.7882592277038845 + 0.i"
8.8,"-0.7907151231501506 + 0.i"
8.900000000000002,"-0.7931166941957457 + 0.i"
9,"-0.7954657252332578 + 0.i"
9.100000000000001,"-0.7977638963592846 + 0.i"
9.200000000000003,"-0.8000128250482569 + 0.i"
9.3,"-0.8022141024090219 + 0.i"
9.400000000000002,"-0.8043691759433487 + 0.i"
9.5,"-0.806479494986965 + 0.i"
9.600000000000001,"-0.8085464549023808 + 0.i"
9.700000000000003,"-0.8105713127654217 + 0.i"
9.8,"-0.8125553758256384 + 0.i"
9.900000000000002,"-0.8144998560851774 + 0.i"
10,"-0.8164059180579261 + 0.i"
10.100000000000001,"-0.8182746602632394 + 0.i"
10.200000000000003,"-0.8201071919481547 + 0.i"
10.3,"-0.8219045443257347 + 0.i"
10.400000000000002,"-0.8236676793661637 + 0.i"
10.5,"-0.8253976247485284 + 0.i"
10.600000000000001,"-0.8270952491718909 + 0.i"
10.700000000000003,"-0.8287614527215361 + 0.i"
10.8,"-0.8303971262152279 + 0.i"
10.900000000000002,"-0.8320030729743361 + 0.i"
11,"-0.8335800744452004 + 0.i"
11.100000000000001,"-0.8351289159900052 + 0.i"
11.200000000000003,"-0.8366503833128283 + 0.i"
11.3,"-0.8381451378406738 + 0.i"
11.400000000000002,"-0.8396138991822254 + 0.i"
11.5,"-0.8410573124940394 + 0.i"
11.600000000000001,"-0.8424760534435505 + 0.i"
11.700000000000003,"-0.8438707259946552 + 0.i"
11.8,"-0.8452419664455278 + 0.i"
11.900000000000002,"-0.846590287815265 + 0.i"
12,"-0.8479163398444769 + 0.i"
12.100000000000001,"-0.8492206388028689 + 0.i"
12.200000000000003,"-0.8505036773013424 + 0.i"
12.300000000000004,"-0.8517660043919029 + 0.i"
12.399999999999999,"-0.8530081168798569 + 0.i"
12.5,"-0.854230479542249 + 0.i"
12.600000000000001,"-0.8554335429255813 + 0.i"
12.700000000000003,"-0.8566178022874685 + 0.i"
12.800000000000004,"-0.8577836744315147 + 0.i"
12.899999999999999,"-0.8589315574297671 + 0.i"
13,"-0.8600618850093568 + 0.i"
13.100000000000001,"-0.8611750501000635 + 0.i"
13.200000000000003,"-0.8622714392493505 + 0.i"
13.300000000000004,"-0.8633514238541969 + 0.i"
13.399999999999999,"-0.8644153727553279 + 0.i"
13.5,"-0.8654636522357919 + 0.i"
13.600000000000001,"-0.8664965823088584 + 0.i"
13.700000000000003,"-0.8675145000708013 + 0.i"
13.800000000000004,"-0.8685177299873634 + 0.i"
13.899999999999999,"-0.8695066029865651 + 0.i"
14,"-0.8704813802847753 + 0.i"
14.100000000000001,"-0.871442408195716 + 0.i"
14.200000000000003,"-0.8723899693333077 + 0.i"
14.300000000000004,"-0.873324286025521 + 0.i"
