"mu","g"
-10,"0.9999995700648698 + 0.i"
-9.9,"0.9999998722789321 + 0.i"
-9.8,"1.0000001730734343 + 0.i"
-9.7,"1.0000003348777562 + 0.i"
-9.6,"1.0000001622014154 + 0.i"
-9.5,"1.0000003006875873 + 0.i"
-9.4,"1.0000001987484648 + 0.i"
-9.3,"0.9999998052108661 + 0.i"
-9.2,"0.9999998948051028 + 0.i"
-9.1,"0.9999998228154781 + 0.i"
-9,"1.0000000849515143 + 0.i"
-8.9,"1.0000002480937078 + 0.i"
-8.8,"0.9999995952720262 + 0.i"
-8.7,"1.0000004535475098 + 0.i"
-8.6,"0.9999998093974909 + 0.i"
-8.5,"1.0000000541867946 + 0.i"
-8.4,"1.000000265706074 + 0.i"
-8.3,"0.9999999096684247 + 0.i"
-8.2,"1.0000001993633623 + 0.i"
-8.1,"0.9999998587013637 + 0.i"
-8,"1.0000000181430728 + 0.i"
-7.9,"0.9999999235436017 + 0.i"
-7.8,"0.9999998155699958 + 0.i"
-7.699999999999999,"0.9999999456475301 + 0.i"
-7.6,"1.0000001018837006 + 0.i"
-7.5,"1.0000002278679943 + 0.i"
-7.4,"1.0000001848421145 + 0.i"
-7.3,"0.9999999422456893 + 0.i"
-7.199999999999999,"1.0000001170259338 + 0.i"
-7.1,"1.0000000673498328 + 0.i"
-7,"0.9999999836662639 + 0.i"
-6.9,"1.000000106998276 + 0.i"
-6.8,"1.000000040504633 + 0.i"
-6.699999999999999,"0.999999818291246 + 0.i"
-6.6,"1.0000001772521525 + 0.i"
-6.5,"0.9999998602640434 + 0.i"
-6.4,"1.0000000232965052 + 0.i"
-6.3,"1.0000000627752987 + 0.i"
-6.199999999999999,"1.0000000376325917 + 0.i"
-6.1,"1.0000000560331364 + 0.i"
-6,"1.0000000526008472 + 0.i"
-5.8999999999999995,"0.9999999237149455 + 0.i"
-5.8,"0.9999998727136554 + 0.i"
-5.7,"0.999999915467769 + 0.i"
-5.6,"0.9999998447977483 + 0.i"
-5.5,"0.9999999999609628 + 0.i"
-5.3999999999999995,"0.9999999003673399 + 0.i"
-5.3,"0.9999999634430483 + 0.i"
-5.199999999999999,"1.0000000932888633 + 0.i"
-5.1,"1.0000000458171683 + 0.i"
-5,"0.9999999774008914 + 0.i"
-4.8999999999999995,"0.9999998516771347 + 0.i"
-4.8,"0.9999998820518012 + 0.i"
-4.699999999999999,"0.9999999304089033 + 0.i"
-4.6,"0.9999999644713158 + 0.i"
-4.5,"0.9999998585999121 + 0.i"
-4.3999999999999995,"0.9999999184482526 + 0.i"
-4.3,"1.0000000235551196 + 0.i"
-4.199999999999999,"1.0000000592856164 + 0.i"
-4.1,"1.0000000452433286 + 0.i"
-4,"1.000000046211626 + 0.i"
-3.8999999999999995,"1.000000021537037 + 0.i"
-3.8,"1.0000000259763304 + 0.i"
-3.6999999999999993,"1.0000000151756323 + 0.i"
-3.5999999999999996,"0.9999999945778635 + 0.i"
-3.5,"1.0000000169379213 + 0.i"
-3.3999999999999995,"1.0000000104334266 + 0.i"
-3.3,"1.0000000050656244 + 0.i"
-3.1999999999999993,"0.9999999998142366 + 0.i"
-3.0999999999999996,"1.0000000228957724 + 0.i"
-3,"1.0000000214310072 + 0.i"
-2.8999999999999995,"1.0000000049960915 + 0.i"
-2.8,"0.9999999963662045 + 0.i"
-2.6999999999999993,"0.9999999956448757 + 0.i"
-2.5999999999999996,"0.9999999976230018 + 0.i"
-2.5,"1.0000000035650949 + 0.i"
-2.3999999999999995,"0.9999999993836326 + 0.i"
-2.3,"1.0000000040212607 + 0.i"
-2.1999999999999993,"0.9999999953361431 + 0.i"
-2.0999999999999996,"0.9999999976217158 + 0.i"
-2,"0.999999999077315 + 0.i"
-1.9000000000000004,"0.9999999907381483 + 0.i"
-1.799999999999999,"1.0000000008344516 + 0.i"
-1.6999999999999993,"1.0000000056656946 + 0.i"
-1.5999999999999996,"1.0000000010788739 + 0.i"
-1.5,"0.9999999971721429 + 0.i"
-1.4000000000000004,"0.9999999996962678 + 0.i"
-1.299999999999999,"0.9999999991509103 + 0.i"
-1.1999999999999993,"0.9999999995510453 + 0.i"
-1.0999999999999996,"0.9999999997997486 + 0.i"
-1,"0.9999999996742215 + 0.i"
-0.9000000000000004,"1.0000000001210214 + 0.i"
-0.7999999999999989,"1.0000000001636682 + 0.i"
-0.6999999999999993,"0.999999999805274 + 0.i"
-0.5999999999999996,"0.9999999999883009 + 0.i"
-0.5,"1.0000000000502194 + 0.i"
-0.3999999999999986,"1.0000000000408642 + 0.i"
-0.29999999999999893,"1.0000000000089502 + 0.i"
-0.1999999999999993,"0.9999999999980673 + 0.i"
-0.09999999999999964,"1.0000000000003606 + 0.i"
0,"1. + 0.i"
0.10000000000000142,"0.9999999999985771 + 0.i"
0.20000000000000107,"1.0000000000047535 + 0.i"
0.3000000000000007,"0.9999999999917772 + 0.i"
0.40000000000000036,"0.9999999999769358 + 0.i"
0.5,"1.0000000000009805 + 0.i"
0.6000000000000014,"1.0000000000911182 + 0.i"
0.7000000000000011,"1.0000000001939346 + 0.i"
0.8000000000000007,"1.0000000000665787 + 0.i"
0.9000000000000004,"0.9999999999118696 + 0.i"
1,"1.0000000004245084 + 0.i"
1.1000000000000014,"1.0000000000037748 + 0.i"
1.200000000000001,"1.0000000000550244 + 0.i"
1.3000000000000007,"0.9999999995952997 + 0.i"
1.4000000000000004,"0.9999999992239843 + 0.i"
1.5,"1.0000000038511985 + 0.i"
1.6000000000000014,"0.9999999985911234 + 0.i"
1.700000000000001,"0.9999999962389898 + 0.i"
1.8000000000000007,"1.0000000002687575 + 0.i"
1.9000000000000004,"1.0000000006532535 + 0.i"
2,"0.9999999986839718 + 0.i"
2.1000000000000014,"1.0000000016087558 + 0.i"
2.200000000000001,"0.999999998793502 + 0.i"
2.3000000000000007,"0.9999999962567552 + 0.i"
2.4000000000000004,"0.999999989588547 + 0.i"
2.5,"1.0000000177985635 + 0.i"
2.6000000000000014,"0.9999999732227633 + 0.i"
2.700000000000001,"0.9999999938112891 + 0.i"
2.8000000000000007,"0.9999999965745641 + 0.i"
2.9000000000000004,"0.9999999857185546 + 0.i"
3,"1.0000000115945618 + 0.i"
3.1000000000000014,"1.0000000028504354 + 0.i"
3.200000000000001,"0.9999999856788442 + 0.i"
3.3000000000000007,"0.9999999990650101 + 0.i"
3.4000000000000004,"0.9999999920807596 + 0.i"
3.5,"0.9999999999130171 + 0.i"
3.6000000000000014,"0.9999999873150527 + 0.i"
3.700000000000001,"1.0000000189769782 + 0.i"
3.8000000000000007,"1.000000033597796 + 0.i"
3.9000000000000004,"0.9999999922573553 + 0.i"
4,"0.9999999640860204 + 0.i"
4.100000000000001,"0.9999999368836932 + 0.i"
4.200000000000001,"0.9999998673111632 + 0.i"
4.300000000000001,"0.9999999778357986 + 0.i"
4.4,"1.0000000548716397 + 0.i"
4.5,"1.00000000153557 + 0.i"
4.600000000000001,"1.0000000231894264 + 0.i"
4.700000000000001,"1.000000033664152 + 0.i"
4.800000000000001,"0.9999999789996572 + 0.i"
4.9,"0.9999999724294095 + 0.i"
5,"1.0000000012291537 + 0.i"
5.100000000000001,"1.0000000470320765 + 0.i"
5.200000000000001,"0.9999999129940613 + 0.i"
5.300000000000001,"1.0000000156642095 + 0.i"
5.4,"0.9999999732233007 + 0.i"
5.5,"1.0000000511923228 + 0.i"
5.600000000000001,"0.9999999962990493 + 0.i"
5.700000000000001,"0.99999986530882 + 0.i"
5.800000000000001,"0.9999998449224095 + 0.i"
5.9,"0.9999998684537623 + 0.i"
6,"0.9999999632683987 + 0.i"
6.100000000000001,"0.9999998937283683 + 0.i"
6.199999999999999,"1.000000218378085 + 0.i"
6.300000000000001,"0.9999999396675321 + 0.i"
6.400000000000002,"1.0000000853850448 + 0.i"
6.5,"1.000000082981562 + 0.i"
6.600000000000001,"0.9999999640448791 + 0.i"
6.699999999999999,"1.000000015119591 + 0.i"
6.800000000000001,"1.0000001233533218 + 0.i"
6.900000000000002,"1.0000003037531506 + 0.i"
7,"0.999999947809399 + 0.i"
7.100000000000001,"0.9999994014040834 + 0.i"
7.199999999999999,"0.9999998219187196 + 0.i"
7.300000000000001,"1.0000002733348863 + 0.i"
7.400000000000002,"1.0000009694078016 + 0.i"
7.5,"0.9999999052644362 + 0.i"
7.600000000000001,"1.0000001070773727 + 0.i"
7.699999999999999,"0.9999998545062141 + 0.i"
7.800000000000001,"1.0000001374800243 + 0.i"
7.900000000000002,"1.0000000124721584 + 0.i"
8,"0.9999997108940168 + 0.i"
8.100000000000001,"0.9999998723230354 + 0.i"
8.2,"0.9999999686956611 + 0.i"
8.3,"0.9999998617257391 + 0.i"
8.400000000000002,"0.9999999829424233 + 0.i"
8.5,"1.0000002217080723 + 0.i"
8.600000000000001,"1.0000001988693148 + 0.i"
8.7,"0.9999999761783591 + 0.i"
8.8,"1.0000000210194848 + 0.i"
8.900000000000002,"0.999999761094367 + 0.i"
9,"1.0000001188946754 + 0.i"
9.100000000000001,"1.0000005652845383 + 0.i"
9.200000000000003,"1.000000089565893 + 0.i"
9.3,"0.9999999364836671 + 0.i"
9.400000000000002,"1.000000103851229 + 0.i"
9.5,"0.9999999855862516 + 0.i"
9.600000000000001,"0.9999996080892888 + 0.i"
9.700000000000003,"1.0000003425319361 + 0.i"
9.8,"1.0000002676352784 + 0.i"
9.900000000000002,"1.0000001422799794 + 0.i"
10,"0.9999998632366089 + 0.i"
